segmentation,segment_id,manual_id,loc,axon_len,dendrite_len
185,648518346349539433,470,[196524 224680  79080],0.0,361.952625
185,648518346349539435,32,[247924 245184   5840],43.7720859375,1706.455375
185,648518346349539437,91,[306848 191956  12240],1219.27175,1992.145875
185,648518346349539448,336,[268240 243440  57760],54.74521875,2845.53675
185,648518346349539462,230,[243152 189876  38240],1716.118875,2599.55225
185,648518346349539464,332,[406388 220916  56480],694.86675,2769.20825
185,648518346349539471,287,[434544 290348  51600],0.0,2304.4395
185,648518346349539486,282,[422500 195080  51000],1437.084625,2775.4959999999996
185,648518346349539506,521,[373744 239636  85640],0.0,1123.498875
185,648518346349539510,415,[462236 280296  73960],25.451837890625,1930.820625
185,648518346349539513,120,[330816 300460  20360],0.0,881.1945625
185,648518346349539517,333,[274300 203432  56960],1191.95325,2209.4205
185,648518346349539524,421,[260560 213776  73840],399.0066875,2631.05975
185,648518346349539539,176,[406960 212264  28720],1114.6660000000002,2362.5355
185,648518346349539554,70,[253324 270044  10200],0.0,2119.1315
185,648518346349539560,138,[292060 186744  21120],1506.999125,2361.21225
185,648518346349539569,485,[351760 289552  84400],0.0,1196.02825
185,648518346349539572,335,[295376 234868  58720],67.9084765625,3067.448
185,648518346349539575,90,[343888 202312  15600],1651.8339999999998,2798.893
185,648518346349539579,408,[382604 212288  70160],49.423171875,2551.681
185,648518346349539586,-1,[310348 299688  32520],0.0,454.71275
185,648518346349539590,245,[365052 290488  43840],0.0,2469.90525
185,648518346349539591,277,[286124 265036  51040],27.192322265625,2569.397
185,648518346349539593,194,[318588 233168  34760],69.4553046875,3170.175
185,648518346349539594,84,[247472 177160  10720],1396.28775,1353.22875
185,648518346349539598,206,[239284 246548  31440],36.7863359375,1872.10275
185,648518346349539599,217,[394916 220124  36080],1027.07025,1984.905
185,648518346349539601,152,[405724 261096  27040],43.6742265625,2378.4405
185,648518346349539653,177,[390048 188612  28840],1740.3315,2215.15875
185,648518346349539727,300,[219692 186524  49920],1622.385375,1832.866125
185,648518346349539755,337,[236956 249808  56160],32.169287109375,2001.585125
185,648518346349539768,410,[398808 185564  71920],43.3353359375,2263.021
185,648518346349539780,509,[306532 199288  86240],0.0,2163.82975
185,648518346349539781,467,[324232 184080  80640],0.0,1488.58675
185,648518346349539785,327,[330568 282720  59600],0.0,3003.82125
185,648518346349539789,179,[352632 203700  30760],1522.47225,2454.7735
185,648518346349539794,448,[234888 211032  79800],0.0,1937.33225
185,648518346349539795,30,[322916 283996   8680],0.0,1739.6989999999998
185,648518346349539797,19,[206764 202296   5040],111.78675,690.8939999999999
